Index;Country;Brown Ale;Pale Lager;Stout;Golden Ale/Blond Ale;Bitter;American Pale Ale;Irish Ale;Wheat Ale;English Strong Ale;Black IPA;India Pale Ale (IPA);American Strong Ale;Imperial IPA;Berliner Weisse;Sour/Wild Ale;Zwickel/Keller/Landbier;Saison;Session IPA;Imperial Stout;Foreign Stout;Porter;Spice/Herb/Vegetable;Pilsener;Belgian Ale;Dry Stout;Mild Ale;Premium Lager;Amber Ale;Baltic Porter;California Common;Imperial Porter;Dortmunder/Helles;Smoked;Abbey Tripel;Premium Bitter/ESB;Belgian Strong Ale;Bière de Garde;German Hefeweizen;English Pale Ale;Traditional Ale;Sweet Stout;Kölsch;Altbier;Sour Red/Brown;Fruit Beer;India Style Lager;Lambic Style - Fruit;Cider;Czech Pilsner (Světlý);Witbier;Cream Ale;Scotch Ale;Dunkel/Tmavý;Sahti/Gotlandsdricke/Koduõlu;Heller Bock;Amber Lager/Vienna;Doppelbock;Imperial Pils/Strong Pale Lager;Abbey Dubbel;Dunkelweizen;Specialty Grain;Oktoberfest/Märzen;Old Ale;Dunkler Bock;Malt Liquor;Radler/Shandy;Scottish Ale;Schwarzbier;Low Alcohol;Barley Wine;Weizen Bock;Grodziskie/Gose/Lichtenhainer;Polotmavý;Abt/Quadrupel;German Kristallweizen;Perry;Eisbock;Lambic Style - Gueuze;Lambic Style - Unblended;Lambic Style - Faro
100;Moldova;3.25;2.3345;3.3955;3.0662;3.0933;3.2562;2.8941;3.1105;3.6554;3.6413;3.4176;3.8174;3.6286;3.2304;3.5698;2.9392;3.5083;3.3633;3.8066;3.619;3.3927;3.0079;2.7962;3.2362;3.3194;3.0444;2.7274;3.1367;3.5426;3.1714;3.7;2.798;3.5865;3.5474;3.3395;3.59;3.26;3.2099;3;3.1569;3.1632;2.9929;3.4294;3.65;2.8909;3.4913;3.2484;2.375;2.8837;2.9783;2.8667;3.4118;2.9339;3.0667;3.0541;2.8862;3.4489;2.4966;3.4459;3.1095;3.1909;2.8917;3.7133;3.2553;2.5375;1.7638;3.2;3.2;2.0888;3.7877;3.637;3.4023;3.0615;3.8053;3.0375;2.48;3.64;3.636;2.85;3.3333
101;South Africa;3.0474;2.5978;3.2814;2.9824;3.1285;3.0839;2.9767;3.0944;3.4805;3.5595;3.3966;3.7333;3.8125;3.54;3.3222;3.0952;3.3449;3.1913;3.7661;3.7917;3.1899;3.0117;2.8964;3.2576;3.2289;3.3;2.9023;3.0254;3.6182;3.2261;3.7;3.0458;3.5524;3.7544;3.3273;3.68;2.8714;3.1207;3.0659;3.2368;3.5532;2.984;3.4167;4.0471;2.9966;3.82;3.5027;3.3;3.0349;3.2012;3.08;3.6;3.194;3.1;3.2941;3.0229;3.6083;2.6696;3.5729;3.2214;3.15;3.1075;3.5652;3.5;2.1;2.3615;3.4176;3.3;2.3015;3.6375;3.5833;3.3;;3.9892;3.0444;2.95;3.9;3.8118;3.45;3.64
102;Dominican Republic;3.6167;2.0255;2.27;2.7333;3.04;3.7667;;2.7125;3.86;2.4571;2.4903;3.1;2.4333;4.1;2.6588;2.6;3.2394;2;2.4556;1.8;2.71;2.4367;2.6289;3.0899;2.5667;;2.4632;3.225;3.45;2.2;2.4;2.7;1.85;3.2583;2.725;3.2851;2.57;3.0364;2.9667;2.6;2.9333;3.0333;3;2.744;2.9727;;2.7444;3.4667;2.2294;2.7186;;3.3333;2.9;;3.0333;2.575;3.5091;2.7864;3.1989;3.51;3.0714;2.92;3.3;3;2.6;2.65;;2.5857;1.3267;3.9667;3.38;;3.125;3.497;2.6;;4.4;3.1474;;3.84
103;Nepal;;1.9333;;;;;;;;;;;;;;;;;;;;;3;;;;;3.9;;;;;;2;;3.7;;;;;;;;;;;;;;;;;;;;3.4;;;4;;;3.1;;;;;;;;;;;;;;;;;;
104;Indonesia;2.8783;1.85;3.0391;2.3481;3.15;2.6283;2.2;3.0333;3.0375;2.9625;2.8218;2.7625;3.1591;2.4;2.5857;2.1833;3.0885;3.2333;3.5553;2.3;3.0913;2.848;2.348;2.91;2.3333;2.1;2.0143;2.7308;3.1333;2.25;3.38;2.0222;3.1077;3.35;2.8111;2.75;3.0667;2.5889;2.7667;;3.1063;1.7286;2.46;3.0875;2.1929;3.05;3.3571;2.1533;2.25;2.5429;3.3;3.1;2.7583;;2.78;2.3;3.5333;2.68;2.94;2.1833;2.7;2.5333;3.35;;2;2.575;2.7;2.7143;1.8727;3.2;2.5167;2.6333;;3.9;1.8;2.1667;3.2;3.55;2.85;3.9
105;Colombia;3.32;2.3;3.65;2.5714;3.0333;3.47;2.6;2.8667;3.4;;3.4286;;3.5;;;4.75;;3.1;3.4;2.9;3.2556;2.72;2.9308;3.25;3.9;;2.38;3.1;3.2667;;;2.78;4.1;3.2333;3;3.9875;3.5;3.4412;2.9;5;;2.35;;3.6667;2.77;;3.45;;3.0571;3.2429;;;3.1778;;2.7;2.9857;2.975;2.7273;3;3.4;2.8;2.9;3;3.15;2.7;;;2.82;1.7;;3.65;;;3.75;2.75;;;;;
106;United States, Wyoming;3.5484;2.3786;3.6675;3.0218;3.2846;3.2858;2.9833;2.8902;3.5739;3.5714;3.5229;3.4885;3.7359;3.36;3.8796;3.7333;3.8305;3.3214;3.9551;3.7412;3.3757;3.0938;3.1895;3.3971;3.5708;3.6333;2.9023;3.2343;3.5167;3.3167;3.86;3.2211;3.8476;3.7167;3.3805;3.6315;3.8;3.275;3.2364;4.2;3.7114;3.124;3.6235;3.7905;3.0513;2.975;3.6778;2.875;3.5071;3.2659;3.39;3.5077;2.9947;;3.4765;2.9661;3.5853;3;3.5278;3.5308;3.0375;3.2514;3.6556;3.32;1.8939;3.0077;3.3875;3.3667;1.8;3.7361;3.56;3.425;;4.1571;3.1667;2.6;4.2;3.8667;4.1;
107;Cyprus;3.28;1.8133;3.6029;3.073;2.7255;3.4583;3.1875;3.4;3.2435;3.75;3.677;3.8118;3.777;3.15;3.6818;2.87;3.5118;3.4542;4.0484;3.7333;3.6594;2.8146;2.7254;3.45;3.3611;3.05;2.6789;3.2455;3.6889;3.2857;3.9182;2.8375;3.8244;3.5397;3.1103;3.6571;3.2909;3.2956;2.69;3.6231;3.5222;2.7727;3.3333;3.812;2.532;3.8;3.5926;2.4;3.1;3.0889;3.4;3.5778;2.76;3.35;3.4857;3.11;3.5538;2.7077;3.5788;3.1556;2.8444;2.925;3.975;3.5429;;1.8;;3.18;2.1778;3.9;3.7625;3.5318;2.9333;3.9839;2.975;;4.125;3.6862;3.7273;3.375
108;El Salvador;3.0891;1.688;3.2321;2.4319;2.6895;3.1357;2.6542;2.2723;3.2621;3.76;3.3774;3.5853;3.869;2.1;2.8;3.2615;3.5406;2.6;3.8426;3.3187;3.2057;2.5614;2.2208;3.286;3.1138;2.375;2.2453;2.9474;3.2143;3.0429;3.7111;2.5918;3.25;3.7208;3.1462;3.4443;3.47;3.0485;2.4895;3.2615;3.5353;2.2077;2.9111;3.1067;2.4643;2.8;2.875;2;2.532;2.9205;2.5;3.4875;2.8278;;3.34;2.475;3.4732;2.2031;3.4629;3.1167;2.27;3.0214;3.5687;1.9333;1.2909;1.4875;2.8;2.3375;1.59;3.7038;4.025;;1.9;3.8273;3.0833;;3.9333;2.7857;;4.1
109;United States, Alaska;3.324;2.1515;3.5153;3.0308;2.975;3.3419;2.9485;2.9814;3.3897;3.6144;3.5083;3.6641;3.7381;3.5549;3.7486;3.05;3.5446;3.4761;3.9142;3.6453;3.5063;3.2664;2.7541;3.2607;3.4361;3.25;2.5373;3.129;3.7966;3.1739;3.6849;2.8729;3.6299;3.4535;3.3337;3.5599;3.2389;3.1741;3.2077;3.5929;3.546;3.1111;3.35;3.8016;3.1284;3.4667;3.3848;2.95;3.234;3.1741;3.0371;3.549;3.2029;4;3.1479;2.9183;3.5469;2.3978;3.5077;3.3386;3.261;3.1703;3.6083;3.3197;1.9432;2.016;3.2949;3.2956;1.9433;3.8261;3.5516;3.355;3.1;3.882;3.0667;2.5667;3.6815;3.8122;3.7375;3.3125
110;Romania;3.5964;2.3188;3.5811;3.1316;3.0962;3.4931;3.175;3.5;3.5103;3.7622;3.6819;4.0333;3.9367;3.803;3.7767;2.9435;3.596;3.5524;4.041;3.5375;3.6798;3.3107;2.6458;3.2882;3.3632;3.2;2.5037;3.2655;3.8968;3.34;3.9933;2.9955;3.7;3.6277;3.3932;3.6526;3.1438;3.2886;3.3;3.3947;3.5824;3.5286;3.3333;3.894;3.06;3.4962;3.7852;2.5;2.987;3.1915;3.5667;3.4667;2.9286;3.7;2.8;2.8143;3.5469;2.584;3.6189;3.3273;3.2769;2.7875;3.6353;3.4718;1.75;1.9615;3.75;3.0558;2.9444;3.9033;3.8314;3.7672;3.0286;4.018;3.2667;;3.9667;3.8621;3.5375;3.35
111;Vietnam;;2.0917;;5;;3.7;;;;;4.45;;;;;;;;;2.2;;;2.95;;;;;;;;;3.9;;4.7;;;;;5;;;;;;;;;4.6;;;;;3.275;;;;;;;;;;;;;;;;;;;;;4.8;;;;;;
112;North Korea;3;1.4182;3.5875;2.7286;2.25;3.2929;3.05;3.1667;3.0111;3.8167;3.5;3.7286;3.8385;2.7;2.8;2.65;3.275;3.4833;3.9256;3.7;3.3786;2.7545;2.3667;3.2053;3.1;3.3;1.8333;3.0222;3.6;2.75;4.025;2.5;3.4667;3.635;3.16;3.5875;3.1;2.98;2.85;3.42;3.7;2;2.2;3.5;2.8167;3.5;3.0625;2.85;2.05;3.2727;;3.9;2.7429;;2.3;2.575;3.4;2.5231;3.3583;2.85;;2.4;3.7;;;1.84;;2.2333;1.08;4.0833;3.575;;;3.7214;2.5;;3.8;3.7;3.7;3.7
113;Uruguay;2.9;1.8776;2.75;2.975;2.9667;3.2;;;3.7;;4;3;;;;3.3;;;;3.1;2.05;3.4;2.7;4.0333;3.4;;2.4;;;;;2.625;3.2;3.5;3;3.55;;2.9455;4.1;3.05;;;;;;;3.25;;;3.9;;3.6;2.825;;;2.5;4.2;2.9;3.6333;2.6;;2.8;4.3;;;;1.4;;;;3.2667;;;3.8;;;;;;3.4
114;United States, West Virginia;3.2682;1.97;3.4543;2.9875;3;3.2848;3.066;3.0097;3.2975;3.5367;3.4695;3.5577;3.6721;3.48;3.6423;3.4125;3.4796;3.4029;3.7516;3.6125;3.4315;3.0839;2.9144;3.405;3.4167;3.2154;2.5784;3.1709;3.6297;2.9882;3.6194;2.9694;3.4532;3.5583;3.1935;3.7212;3.5839;3.3072;3.0578;3.5278;3.5855;2.7289;3.136;3.6217;2.9827;3.4682;3.669;3.1812;2.8464;3.2906;2.9607;3.3975;3.0967;3.5333;3.1964;2.7748;3.5347;2.9875;3.626;3.313;3.3074;3.0104;3.6156;3.1;2.0182;2.955;3.02;3.2075;0.8;3.552;3.4075;3.4735;3.3;3.8689;3.3833;3;3.7;3.6714;3.5833;3.6
115;Venezuela;3.0439;2.0493;3.2806;2.7796;2.8222;3.1741;2.9615;2.6867;3.0176;3.67;3.266;3.602;3.4465;3.25;3.2633;3.05;3.5286;3.3111;3.7276;3.1;3.2154;2.9097;2.5214;3.107;3.1538;2.6;2.7295;2.9803;3.4214;3.2833;3.7917;2.7962;3.3913;3.3703;2.95;3.5552;3.2667;3.134;2.6476;3.34;3.3731;2.39;3.09;3.6;2.7847;3.25;3.5923;2.4;3.1818;2.8813;2.5;3.3591;2.5818;;2.9733;2.6231;3.4364;2.6556;3.4333;3.5091;2.8882;3.0667;3.5571;2.7467;1.6929;2.625;3.175;2.9444;1.8;3.5182;3.4722;3.2;;3.86;2.5667;;3.35;3.45;3.65;2.7
116;South Korea;2.84;1.7923;3.5611;3.3214;2.8;3.21;3.18;3.42;3.7667;3.92;3.423;3.8833;3.8935;4.6;4.06;2.9;3.4571;3.3714;4.1333;2.85;3.1333;3.0167;2.8429;3.37;3.5;3.3;2.76;3.475;3.75;3.2;4.1;2.4833;3.35;3.91;3.1083;3.769;3.5;3.5633;3.2;3.6;3.23;;3;3.8833;3.5429;3.7;3.9429;3.4333;3.5286;3.4708;;3.6;3.2714;;3.275;2.5429;3.9;2.05;3.9;3.125;3.6333;2.8;3.3;;1.0667;3.7167;;2.9;2.4333;3.9;4.3286;3.5714;;4.3462;2.6;;;3.7857;;
117;United States, North Dakota;3.329;2.1151;3.517;2.9744;2.7;3.2684;3.0789;3.0673;3.5062;3.6048;3.4373;3.6733;3.7794;3.4765;3.787;3.1125;3.7507;3.4929;3.979;3.5308;3.4765;3.3072;2.7158;3.2697;3.2304;3.5;2.604;3.1532;3.5222;3.3625;3.7263;3.0444;3.5529;3.4535;3.2673;3.4892;3.2;3.2952;3.0462;3.68;3.5286;3.2826;3.48;3.6462;2.8774;4.4;3.68;2.75;2.5571;3.061;3.3714;3.6778;2.9167;3.8;3.3667;2.7045;3.4966;2.77;3.4543;3.335;3.3889;3.18;3.6231;2.8889;1.5316;2.13;3.2;3.1529;2.15;3.6757;3.8;3.7533;3.1;4.013;3.2625;;3.825;3.55;3.1;3.5333
118;Bolivia;2.824;1.762;3.3333;2.2923;2.8667;3.0098;2.86;2.3182;3.2308;;3.2674;3.1286;3.6636;;;;3.8;;3.6923;3.2625;3.0795;3.0846;2.6857;3.0133;3.6643;;2.6667;2.8656;3.5667;3.2;3.1;2.7636;3.6333;3.5217;3.0667;3.5594;2.9;3.181;2.8;3.575;3.3125;2.55;2.45;3.63;2.6852;3.6;3.64;;2.7667;3.0857;2.4;2.7;3.2;;2.8667;2.536;3.12;2.5667;3.5538;3.24;1.8;2.8077;3.0333;3.2667;2.4667;2.05;3.3667;2.6111;1.1;3.4318;4.0333;;;3.8889;3.1;;3.6;3.45;;2.5
119;Marshall Islands;2.7667;2.1311;3.5;2.94;2.75;3.3;2.9;3.7;3.25;3.8;3.5067;3.2;3.4333;2.9;;3.1012;3.1;3.6;3.9;;3.06;2.7625;2.6959;3.08;2.8;;2.5571;2.625;3.3667;3.5;;2.7815;3.5467;3.7833;3.225;3.2615;3.1833;2.985;2.95;3.1;3.4;3;3.4;;2.0875;3.1;3;;2.7391;2.8625;;1.5;3.0043;;3.0312;2.8211;3.5;2.3368;3.4;3.1167;3.3;2.8547;;2.88;0.5;1.968;;2.7533;2.1971;;3.4667;3.2;3;3.8;2.9;;;;;3.1
120;United States, Vermont;3.4961;2.0442;3.5782;3.0944;3.2458;3.5042;3.2937;3.1443;3.4372;3.6813;3.6049;3.7004;3.7961;3.5118;3.7478;3.6122;3.6942;3.6077;3.894;3.6679;3.5431;3.2652;3.3063;3.528;3.4207;3.3719;2.9817;3.306;3.8;3.1786;3.7918;3.4266;3.7662;3.5812;3.3641;3.6607;3.4268;3.3805;3.2513;3.6053;3.5464;3.3587;3.3093;3.7752;3.0273;3.8896;3.7375;2.3933;3.41;3.3169;3.2231;3.5904;3.4515;3.475;3.3444;3.0257;3.6552;3.2417;3.5148;3.385;3.3777;3.291;3.6513;3.25;1.88;2.3923;3.3169;3.4904;1.8118;3.6758;3.6712;3.5934;3.85;3.8422;3.5417;;3.7;3.9085;3.6455;3.5
121;United States, Rhode Island;3.4292;1.8764;3.7714;3.0744;3.2857;3.4598;3.1333;3.1417;3.5389;3.675;3.5887;3.7161;3.8373;3.5611;3.6526;3.625;3.6519;3.4333;3.9766;3.6458;3.6745;3.3222;3.0233;3.5229;3.4634;3.45;2.8077;3.3232;3.8176;3.0182;3.9929;2.9619;3.7;3.7576;3.4133;3.7877;3.4556;3.3863;3.1905;3.4368;3.7308;3.1231;3.4156;3.7525;3.0409;3.7133;3.6125;;3.0214;3.4031;3.0125;3.797;3.2182;3.7;3.76;2.9543;3.75;3.58;3.7054;3.45;3.4154;3.3233;3.7531;3.5389;1.5833;2.325;3.455;3.5;;3.7889;3.7619;3.5;;3.9221;2.9;;3.9273;3.6133;3.4;3.25
122;Philippines;3.38;2.0938;3.9462;2.9;;3.4957;3.6667;3.22;3.44;4.225;3.7081;3.8687;4.1;3.3667;3.325;3.2;3.4333;3.6923;4.05;4.2;3.8846;2.5889;3.2143;3.4375;3.7571;3.4;2.3125;3.3444;3.7;3.9;4.05;4;;3.875;3.5;4.1444;4.05;3.6125;3.1667;3.7;3.7786;3.65;3.5;4;2.7;3.5333;2.3333;3.3;4;3.3385;3.6667;3.7667;3.5714;;3.8333;2.275;3.6;2.18;3.9;;3.175;3.6;3.7;3.6;1.9857;3;3.6;3.2;1.6667;;;3.4;;4.4333;;;;;;3.1
123;Greenland;;2.2476;3.5444;3;;2.9714;3;3.4333;3.2;3.3833;3.2267;;;;3.6;2.6;2.7;3.2;;3.4;3.44;2.6571;2.3444;2.2;3.35;3.3;2.6308;3.4667;3.5133;;;;3.3714;2.4;2.8;3.2;;3.3273;;;3.52;;;;2.8;3.525;4.6;2.75;2.7176;3.0429;;;3.0222;3.6;2.8;2.65;2.35;2.45;2.3;3.0333;;2.8333;;2.92;;2.1;;3;2.3444;;2.85;3.4;;2.9;3.0667;3.2;;;;
124;Bermuda;3.6;1.7447;3.3174;3.18;2.8857;3.6;2.5;3.2143;3.2;3.68;3.5762;3.7167;3.7764;;2.5143;2.825;3;3.3333;3.8425;3.6;3.4913;2.896;1.8091;2.8006;3;3.1;1.9111;3.06;3.15;2.1;3.66;2.4;2.78;3.1425;3.05;3.1509;;2.95;2.5;3.225;3.3818;2.6667;3.05;2.565;1.9706;3.4;2.2125;;1.95;2.8143;;3.25;2.5333;3.4;2.7;2.2833;3.1875;2.3933;2.7;3.1;3.1667;2.7;3.2571;2.9857;;1.2333;2.9;2.8;1.53;3.5412;3.06;;;3.7075;;;3.9;2.475;;2.2
125;Guatemala;4.4;2.829;3.75;3.05;;2.55;;2.1;2.5;;3.4;;4.7;;;4.4;;;;;3.1;3.2667;3.6;3.3;;;1.1;;;;;3.8;;;4.3;3.6;;3.1;;;;;;;3.05;;;;;3.5667;;;3.5;;4.4;3.825;4.1;;4.7;;;;;;4.2;0.6;;;;;;;;;;;;;;
126;Ukraine;3.5257;2.2412;3.5764;3.0527;2.9348;3.4404;3.1188;3.1421;3.4158;3.7382;3.5831;3.9;3.8944;3.43;2.775;2.7259;3.3464;3.5444;3.9839;4.0667;3.585;3.2467;2.75;3.2574;3.4811;2.73;2.5774;3.3613;3.6017;2.9571;3.9375;2.8475;3.5231;3.4545;3.2194;3.5306;2.9154;3.2906;3.2846;3.0267;3.6033;3.225;3.7714;3.5833;2.8906;3.6857;3.5167;2.56;2.7149;2.9812;3.65;3.6333;3.0093;3.6;3.225;2.8;3.6625;2.2451;3.5717;3.5583;3.1571;2.8429;3.75;3.0854;2.25;2.265;3.3;3.2694;2.1347;3.95;3.8385;3.62;2.8593;3.95;3.2133;2.5;4.35;3.6;;3.9333
127;Peru;2.7;2.1486;3.7875;2.53;3.7;3.0722;2.85;2.5833;3.4125;3.475;3.1684;3.7;4.0333;;3.3;3.75;;2.15;3.975;4;2.7875;2.9429;2.5909;2.6571;3.525;;2.3167;2.84;;2.9;3.8;1.5;4.175;3.93;3.7;4.0056;;3.0857;3.3667;;3.35;1.8;;3.4;3.21;;3.7;;3;2.9667;;4.4;3.1;;;3.2714;3.75;3.4;3.4667;3.7;3.025;;;2.3667;3.5667;2.2;3.5;2.85;2.0667;3.8;3.45;3.7;;3.6;;;;3.2;;3.8
128;Algeria;;;3.5;;;;;;;;2.075;2.5;;;;;;;3.6;;;2;2.4667;;;;;3.4;3.1;;;1.7;3.3;;2.5;;;2.8;;;;;;2.6;2.1;;2.5;;2.5;;;;2.9;;;;3.1333;3.2;;;;;2.8;;1.5;1.5;;2.6;;;3.75;;;;;;4.1;1.7;2.2;
129;Namibia;;2.9429;;;;;;;;;;;;;;;;;;;;;;;;;2.3;2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;;;;;;;;;;;
130;Nigeria;;4.35;;;;;;;;;;;;;;;;;;4.1;;;;;4.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;Laos;;2.8417;;;;4.3;;;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.9;;;3.5;;;;;;;;;;;;;2.4;;;;;;;;;;;
132;Armenia;4.8;3.3;;;;;;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.6;;;;;;;;;;;;;;;;;;1.9;;;;;;;;;;;;;;;;;;;;;;;;
133;Kazakhstan;;1.8211;;;;;;;;;;;;;;2.4333;;;;3;;;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;2.65;1.7;;;1.75;;;;;0.9;;;;;;;1.75;;;;1.15;;;;;;;;;;;
134;Montenegro;3.7;3.5625;;;;3.3;;;;3.5;2.7;;3;;;;;;;;;;2.6;;;;;;4.2;;;2.1;;;;;;;;;;;;;;;;;;;;;1.9;;;;;;;;;;;;;;;4.2;;;;;;;;;;;;
135;Bosnia and Herzegovina;2.3333;3.0606;3.3;5;2.5;3.2727;;;2.7;;3.34;;4;;2.4;;;;3.5;;3.35;3.5;3.8333;3.75;2.725;;3.55;;;;;0.5;;;2.6667;4.5;;3.7;;;3.5;;;;;;;;3;3.9;;;4.1857;;;3;3.7;0.7;3.5;3.2;;2.9;3.1;2.3;3.1;;3.1;4;4.4;5;;;;4.4;;;;;;
136;Macedonia;;3.1286;3.2;2.9;;3.8;;;;;3.725;;;;;3;3.6;4.2;;;4.2;3.7;4.45;3.35;5;;1.2;;3.9;;;;4.4;;3.6;;;3.1;;;3.4;;;;2.45;;;;4.05;;;;3.4;;;3.0667;;;;;;;3.7;;;;;3.1;;;;;;;;;;;;
137;Bangladesh;;3.15;;;;;;;;;3.75;3.6;;;;;4.6;;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.3;;;;;;;;;;;;;;;;;;;
138;Afghanistan;3.28;;;;;;;;;3.6;;;;;;;;3.9;;;;;;;;2.7;;;;;3.1333;;;;;3.8;;;;;;;;;;;;;4.2333;;;;;;;;;;;;;;;;;;;;;4.4;;;5;;;;;;;
139;Azerbaijan;2.9571;;4.3;;;;;;;;;;;;;;;;;;2.7;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;3.4;;;;;3.9;;;;;;;;;;;;;;;;;;;;;;
140;United States, Montana;1.9331;3.485;2.8639;2.9636;3.1873;2.975;2.7975;3.3329;3.4361;3.4426;3.4763;3.7013;3.2429;3.7846;3.4;3.3088;3.2826;3.7897;3.5241;3.3403;3.0608;2.9371;3.3348;3.4625;3.26;2.6656;3.084;3.7667;3.0154;3.6682;3.065;3.5902;3.4887;3.2389;3.1446;3.5538;3.0667;3.2462;2.9923;4;3.4135;2.8387;3.2214;3.7588;2.9353;3.2;3.5828;2.5667;2.8294;3.2185;3.1643;3.4609;3.115;;3.2784;2.7753;3.4532;3.1833;3.4661;3.1517;3.2143;2.9856;3.5217;3.3125;1.825;2.7571;3.1294;3.1361;1.125;3.5432;3.5722;3.45;;3.7765;3.0071;1.5;3.8857;3.9353;2.5333;2.9333
141;Argentina;1.9462;3.3111;3.4292;3.1;3.6524;3.5714;4.3;3.3;4.1;3.8889;3.5875;3.9857;;3;3.175;3;3.74;3.9286;3.6;3.7267;3.175;3.0591;3.3;4.1364;2.7;2.86;3.5167;;3.6;3.1;3.3667;2.88;4.1187;2.68;3.5667;3.94;2.6;3.6136;3.3;4.2;3.85;3.325;;3.1;3.9;;;;3.9375;3.2917;3.6;3.4125;2.6667;;;2.8857;3.625;2.5;3.6;3.3;3.8;3.725;4;2.5818;1.2;0.5;3.3;2.85;0.5;3.7286;3.8;;3.05;4.125;3.9;;4.6;3.7;;
142;Costa Rica;3.3;;4.1;;;4.5;;;;;;;;4.2;;;;;;;;;3.8;1.7;;;4.5;;;;4.15;;;;;3.9333;;;;;;;;;0.78;;;;;3.3;;;;;;2.4;;;3.2;;;;;4;;;4.9;3.5667;;;3.7;;;;;;;;;
143;Paraguay;2.3688;;2.95;3.8;3.66;;;;;3.55;;;3.2;;;;;4;;4.4;;3.05;;;;2.2;;;;;;;;;3.6;4.5;;2.4;;;4.2;;;;2.3;;;;;3.75;;3.1;;;;;;;4.5;;;;;;;;;3.8;;;;3.1;;4.8;;;;;;
144;Guam;1.7805;3.5571;3.0917;2.6;3.2125;3.08;3.04;3.2333;3.6;3.1698;3.1667;3.3;2.9;2.6;;3.6714;3.05;3.5933;3.65;3.592;2.76;2.8;3.1;3.4889;2.4;2.6286;3.2769;4.05;3.1667;4.2;;3.975;2.9667;3.3227;3.1;3.275;;3.22;3.6;3.8;3.5933;3.0333;3.06;;2.61;3.4;3.3;2.5;;2.8667;;3.65;3.0333;;3.5333;2.6571;4;;4.15;3.5;3.05;3.275;3.4;3.6;1.6;2.5;3.3;3.475;;3.8;3.8333;;;3.8;3.3;;4.2;;;
145;Isle of Man;1.87;;3.2;4.2;;;3.2;4.1;;4.05;4.1;3.9;;3.6;;;;3.55;;3.9;0.5;2.8;3.1333;;;;;;;;;;2.6333;3.8;2.4;4.75;;4.35;;1.3;;;;;0.5;;;;3;0.8;;;;;;;;2.5;;;;;;;1.55;;;;4.3;3.3;;;;4.28;;;;;;
146;United Arab Emirates;1.3;;2.3;;;;;;;3.7;;;;;;;;;;;;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;Puerto Rico;2.0767;3.8833;3.9294;3.92;3.91;3;3.4;4.025;4.8;3.645;3.6;4.4167;;4.7;4.7;3.94;3.7;4.1667;;3.59;3.5;3.9333;3.55;3.35;;3.6;4.4;;3.7;;3.15;;3.84;3.3;3.7571;4.2;;3.5429;3.6;4;3.6222;3.25;;2.7;3.0533;;1.8;;2.9;3.9;;;3.4;;;3.32;3.8333;;4.3333;4.8;1.4;2.75;4;3.1;0.75;2.8;;;;3.2;4.1;;;4.05;;;;3.5;;
148;Honduras;2.675;;;;;;;;;;;;;;;;;;;;;3.6;;2.7;;;;;;;3.1;;;;;;;3.9;;;;;;;;;;;;3.3;;;2.8;;;3.2;;1.5;;3.1;;;;;;;;;2.3;;;;;;;;;;;
149;Togo;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;Monaco;;;;;2.2;;;;;3;;;;;;;;;;;;4.2;;4.3;;;;;;;;;;;;;;;;;;;;;1.6;;;;;;;;;;;;;2.2;;;;;;;;;;;;;;;;;;;;;;
151;Abkhazia;;;;;;;;;;;;;;;0.5;;;;;4.8;;;;;;;;;;;;;;;;;;0.8;;;;;;;2.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;
152;Saudi Arabia;1.15;3.5;2.3667;3.2;3.1;;2.875;;;1.9;;;;;;;;3.8;;3.95;3;;3.3;4.1;;;2.6;;;;;;;3.6333;2.7;3.65;;3.6;;;;;;4.5;2;;;;;2.1;;;;;;1.7333;;;;;2.8;3.1;;;;;;3.1;;;4;;;4.45;;;;;;
153;Pakistan;3.4;3.5;;;;;;;;;;;;;;;;4.25;;;3.4;;;;;;3.2;;;3.1;;;3.7;3.5;3.5;4.1;;;;3.4;4.2;;;;;;;;;;;3.5;;;;;3.9;;;;;;4.05;;;4.2;;;;4.1;;;;4.45;;;;;;
154;Virgin Islands (U.S.);3.1667;4.2;3.7;;2.1;;3.45;;;;4.7;;;;;;;3.1;;5;;3.55;;;;;4;;;;3.4;4;4.5;;3.8;3.8667;;3.7;3.5;;;;;;3.95;;;4.1;;4.05;;;4;;;3.8;;;4.0333;;4;;;;;;;;;;;;;3.75;;;;;;
